Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1669.3053561568158,2789.019878520154,2415,0.05,2748.3333333333335,2750,2790,Inf,0,2753.4917992854826,Inf,2750,2715,-3.491799285482557,2845
1,1642.1323529411748,2768.0882352941176,2415,0.045000000000000005,2715,2715,2770,2.7225000000000033,0.0049999999999999975,2762.3934125458677,2.0215219974685317,2784.282032302755,2667,21.888619756887238,2790
2,2830.8154029202797,3101.8757443385334,2415,0.04,2681.6666666666665,2685,3105,39.68999999999998,0.010000000000000002,3185.489452187035,57.11341482213824,2823.5640646055103,2727,-361.9253875815248,3110
3,2317.1137546950595,3118.960373339374,2415,0.035,2648.3333333333335,2650,3120,22.090000000000003,0.015,3106.3516057506936,20.978073786818307,2857.8460969082653,2915.5,-248.5055088424283,3150
4,2001.6810352365137,3068.0192941039318,2415,0.030000000000000002,2615,2615,3070,11.645156250000001,0.02,2929.8375689775726,5.575651584733563,2892.12812921102,2906,-37.70943976655235,3135
5,1913.6573048019363,3078.6504903833907,2415,0.025,2581.6666666666665,2585,3080,8.820900000000002,0.025,2938.9768660933228,4.596140830115407,2931.4101615137756,2906,-7.5667045795471495,3130
6,1796.3567034633852,3079.7459341029744,2415,0.020000000000000004,2548.3333333333335,2550,3080,7.0225,0.03,2950.788687967362,4.049257811840041,2965.6921938165306,2906,14.903505849168596,3110
7,1758.4709526491351,3102.9935450331413,2415,0.015,2515,2515,3105,6.393673469387752,0.035,2986.532505618675,4.08384925448006,2999.974226119286,2924.5,13.441720500611154,3145
8,1902.3536766566085,3154.481113069923,2415,0.010000000000000002,2481.6666666666665,2485,3155,6.312656250000001,0.04,3087.3987639319275,5.159691192056789,3039.256258422041,2912,-48.14250550988663,3150
9,1948.9587176556724,3197.8171125338417,2415,0.0050000000000000044,2448.3333333333335,2450,3200,6.25,0.045,3178.0541990513957,5.916583798492425,3073.538290724796,2943,-104.51590832659986,3155
10,1577.782214156081,3155.662431941924,2415,0,2415,2415,3160,4.995225,0.05,3095.852815625169,4.172045008902485,3107.8203230275512,2989,11.967507402382125,3245
