Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1681.2766871165659,2789.269938650307,2415,0.05,2748.3333333333335,2750,2790,Inf,0,2757.8849089789037,Inf,2750,2715.5,-7.884908978903695,2935
1,1683.8130081300806,2792.8455284552847,2415,0.045000000000000005,2715,2715,2795,5.760000000000006,0.0049999999999999975,2782.8109800413667,4.13849611275358,2767.7046276694728,2720,-15.10635237189399,2855
2,2248.954571166656,3057.0147489639608,2415,0.04,2681.6666666666665,2685,3060,31.64062499999999,0.010000000000000002,3031.2094266472523,27.490531737340206,2790.409255338946,2923,-240.8001713083063,3150
3,2268.974594821917,3089.9933144268202,2415,0.035,2648.3333333333335,2650,3090,19.360000000000003,0.015,3083.2531956266325,18.915528661722224,2808.113883008419,2900.5,-275.13931261821335,3115
4,2007.2780515677423,3039.8100135704585,2415,0.030000000000000002,2615,2615,3040,10.16015625,0.02,2911.577461136915,4.947648213061036,2825.818510677892,2876,-85.75895045902325,3105
5,1975.144434559632,3064.335915013868,2415,0.025,2581.6666666666665,2585,3065,8.2944,0.025,2925.156330679726,4.247465374216964,2848.523138347365,2929,-76.63319233236098,3140
6,1911.7718310440123,3085.463638988574,2415,0.020000000000000004,2548.3333333333335,2550,3090,7.290000000000001,0.03,2952.258454577656,4.078887589306012,2866.227766016838,2938,-86.03068856081791,3240
7,1854.0933801836436,3089.818676036729,2415,0.015,2515,2515,3090,6.072704081632652,0.035,2981.547734584762,3.997961424113392,2883.932393686311,2926.5,-97.615340898451,3110
8,1909.9544814263281,3117.769348412283,2415,0.010000000000000002,2481.6666666666665,2485,3120,5.6703515625000005,0.04,3028.6232089824603,4.2069580197475585,2906.637021355784,2915,-121.98618762667638,3100
9,1791.258064139889,3111.209677356648,2415,0.0050000000000000044,2448.3333333333335,2450,3115,4.913611111111112,0.045,3010.8671009832606,3.51604710829358,2924.341649025257,3043,-86.52545195800349,3150
10,1734.9913530010126,3107.6398779247197,2415,0,2415,2415,3110,4.347225,0.05,3038.7627361089717,3.501719558623356,2942.04627669473,2918.5,-96.71645941424185,3130
