Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1652.6912442396315,2766.820276497696,2415,0.05,2748.3333333333335,2750,2770,Inf,0,2742.531356321646,Inf,2750,2687.5,7.468643678354056,2780
1,1657.7047539616324,2776.501251042535,2415,0.045000000000000005,2715,2715,2780,3.802500000000004,0.0049999999999999975,2768.48294525283,2.57438288962551,2788.560254969046,2695,20.07730971621595,3115
2,2323.8979639291374,3106.9343399845948,2415,0.04,2681.6666666666665,2685,3110,40.640624999999986,0.010000000000000002,3093.410479341095,38.144917637026865,2832.1205099380927,2913,-261.2899694030025,3135
3,2227.8408351518883,3124.8467058492765,2415,0.035,2648.3333333333335,2650,3125,22.5625,0.015,3117.1018175123713,21.974389175951288,2870.6807649071393,2921.5,-246.42105260523203,3155
4,1893.4960530470453,3066.5466792969155,2415,0.030000000000000002,2615,2615,3070,11.645156250000001,0.02,2926.8068656787436,5.4688230834976155,2909.2410198761854,2910,-17.565845802558215,3190
5,1826.4544081320746,3100.4720015638604,2415,0.025,2581.6666666666665,2585,3105,9.7344,0.025,2952.9966300563324,4.963893901594941,2952.801274845232,2931.5,-0.19535521110037735,3155
6,1763.7667654414363,3100.856083054872,2415,0.020000000000000004,2548.3333333333335,2550,3105,7.700625,0.03,2991.4971797938406,4.909854870241799,2991.361529814278,2919,-0.1356499795624586,3450
7,1745.5212804451494,3124.9023021316634,2415,0.015,2515,2515,3125,6.8344897959183655,0.035,3028.4880692363154,4.842918316800715,3029.9217847833247,3070.5,1.4337155470093421,3180
8,1920.924329400419,3161.9400716087866,2415,0.010000000000000002,2481.6666666666665,2485,3165,6.5024999999999995,0.04,3072.157132661913,4.90329830293992,3073.482039752371,2913.5,1.3249070904580549,3130
9,1990.2374938654466,3207.1610565125857,2415,0.0050000000000000044,2448.3333333333335,2450,3210,6.417777777777777,0.045,3111.8092048050744,4.891113689168734,3112.0422947214174,2938,0.2330899163430331,3170
10,1555.6026200873384,3159.6506550218346,2415,0,2415,2415,3160,4.995225,0.05,3151.5078500480636,4.881994318641787,3150.602549690464,2969.5,-0.9053003575995717,3185
