Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1680.399067,2785.845974,2415,0.05,2748.333333,2750,2790,Inf,0,2753.709798,Inf,2750,2697.5,-3.709797832,2825
1,1677.087794,2791.156317,2415,0.045,2715,2715,2795,5.76,0.005,2780.948873,3.914328408,2767.704628,2695,-13.24424485,2970
2,2323.476911,3060.410253,2415,0.04,2681.666667,2685,3065,32.49,0.01,3039.862714,28.86849189,2790.409255,2897.5,-249.4534588,3125
3,2235.257395,3076.909841,2415,0.035,2648.333333,2650,3080,18.49,0.015,3067.902691,17.60384462,2808.113883,2923.5,-259.7888084,3025
4,2002.171058,3032.208394,2415,0.03,2615,2615,3035,9.9225,0.02,2828.788239,2.570929375,2825.818511,2873,-2.969728252,2970
5,1956.052575,3066.410515,2415,0.025,2581.666667,2585,3070,8.4681,0.025,2847.649337,2.546884114,2848.523138,2886,0.873801282,3130
6,1926.896168,3068.15822,2415,0.02,2548.333333,2550,3070,6.76,0.03,2867.79501,2.55139407,2866.227766,2933.5,-1.567243865,3460
7,1850.715892,3081.316842,2415,0.015,2515,2515,3085,5.96755102,0.035,2883.823485,2.498524216,2883.932394,2904,0.108908951,3130
8,1867.179896,3100.870812,2415,0.01,2481.666667,2485,3105,5.405625,0.04,2906.037085,2.532519173,2906.637021,2942.5,0.599935967,3180
9,1922.648586,3135.120108,2415,0.005,2448.333333,2450,3140,5.29,0.045,2925.564153,2.530547284,2924.341649,2958.5,-1.222504284,3265
10,1731.033473,3110.181311,2415,0,2415,2415,3115,4.41,0.05,2942.477104,2.504088858,2942.046277,2918.5,-0.430827411,3145
