Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,local_Second_derv_maxima,,,diff_swath_theo
0,1652.691244,2766.820276,2415,0.05,2748.333333,2750,2770,Inf,0,2761.310702,Inf,2750,2687.5,2780,,,11.31070164
1,1657.704754,2776.501251,2415,0.045,2715,2715,2780,3.8025,0.005,2768.482945,2.57438289,2788.560255,2695,2840,,,-20.07730972
2,2342.303226,3110.935484,2415,0.04,2681.666667,2685,3115,41.6025,0.01,3097.262259,38.86193171,2832.12051,2913,3135,,,265.1417492
3,2037.44164,3080.567823,2415,0.035,2648.333333,2650,3085,18.9225,0.015,3065.91329,17.437302,2870.680765,2921.5,3145,,,195.2325248
4,1918.405689,3072.477545,2415,0.03,2615,2615,3075,11.9025,0.02,3065.116421,11.39651956,2909.24102,2910,2930,,,155.8754008
5,1837.531599,3102.60223,2415,0.025,2581.666667,2585,3105,9.7344,0.025,3094.390524,9.463887121,2952.801275,2931.5,3145,,,141.5892487
6,1762.949721,3100.670391,2415,0.02,2548.333333,2550,3105,7.700625,0.03,3096.391938,7.509205856,2991.36153,2919,3100,,,105.0304083
7,1777.917431,3131.513761,2415,0.015,2515,2515,3135,7.060408163,0.035,3124.864003,6.831442698,3029.921785,3070.5,3110,,,94.94221846
8,1700.755643,3114.077314,2415,0.01,2481.666667,2485,3115,5.58140625,0.04,3109.344018,5.540327685,3073.48204,2913.5,3130,,,35.86197841
9,1659.244068,3143.508475,2415,0.005,2448.333333,2450,3145,5.366944444,0.045,3137.122843,5.271455423,3112.042295,2938,3170,,,25.08054785
10,1547.766378,3157.691595,2415,0,2415,2415,3160,4.995225,0.05,3155.252695,4.931766469,3150.60255,2959,3185,,,4.650145101
