Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,local_Second_derv_maxima,,,,,,
0,1659.467811,2781.11588,2415,0.05,2748.333333,2750,2785,Inf,0,2773.777109,Inf,2750,2690.5,2810,2773.777109,,23.77710897,17.7513472,9.644879053,
1,1667.833333,2780.833333,2415,0.045,2715,2715,2785,4.41,0.005,2771.714786,2.89491022,2803.128694,2687,2825,2771.714786,,-31.41390812,2061.159562,-18.19519666,
2,2171.04218,3077.815166,2415,0.04,2681.666667,2685,3080,35.105625,0.01,3064.107814,32.90877706,2861.257388,2919,3135,3064.107814,,202.8504267,206.8555702,211.7690336,207.1583435
3,1998.455742,3096.854067,2415,0.035,2648.333333,2650,3100,20.25,0.015,3084.307082,19.00731092,2914.386081,2931.5,3135,3084.307082,,169.9210003,128.809567,167.6115944,155.4473872
4,1879.347025,3086.749292,2415,0.03,2615,2615,3090,12.69140625,0.02,3073.750037,11.83790229,2967.514775,2930.5,3055,3055,,106.2352616,108.1891434,107.8055592,107.4099881
5,1762.731299,3089.202756,2415,0.025,2581.666667,2585,3090,9.1809,0.025,3082.808939,9.041168765,3025.643469,2942.5,3095,3082.808939,,57.1654698,68.43974325,55.88399829,60.49640378
6,1710.434043,3127.858156,2415,0.02,2548.333333,2550,3130,8.41,0.03,3119.924187,8.167902606,3078.772163,2937.5,3165,3119.924187,,41.15202454,27.76820586,32.28629385,33.73550809
7,1628.125,3129.375,2415,0.015,2515,2515,3130,6.946989796,0.035,3124.394452,6.820927312,3131.900856,2936,3130,3124.394452,,-7.50640447,6.978617585,6.978617585,2.1502769
8,1591.295783,3144.584337,2415,0.01,2481.666667,2485,3145,6.125625,0.04,3138.693327,6.070556703,3190.02955,2943,3145,3138.693327,,-51.33622336,-39.69847714,-49.01093775,-46.68187941
9,1569.442167,3162.188873,2415,0.005,2448.333333,2450,3165,5.680277778,0.045,3159.107217,5.613327931,3243.158244,2960.5,3140,3140,,-84.05102692,-92.03009663,-87.74632766,-87.94248374
10,1611.346154,3325.336538,2415,0,2415,2415,3330,7.535025,0.05,3296.992828,7.001202136,3296.286938,3160.5,3480,3296.992828,,0.705890109,-25.59938781,-20.52609238,-15.13986336
