Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,local_Second_derv_maxima,,,
0,1664.51893,2775.982376,2415,0.05,2748.333333,2750,2780,Inf,0,2767.751347,Inf,2750,2703,2755,,,17.7513472
1,3756.545455,3532.272727,2415,0.045,2715,2715,3535,605.16,0.005,4864.288256,4157.496008,2803.128694,2914,Inf,,,2061.159562
2,2198.282367,3081.123908,2415,0.04,2681.666667,2685,3085,36,0.01,3068.112958,33.60166557,2861.257388,2885.5,3120,,,206.8555702
3,1946.637615,3049.266055,2415,0.035,2648.333333,2650,3050,16,0.015,3043.195648,15.59162478,2914.386081,2887.5,2995,,,128.809567
4,1904.011986,3085.402397,2415,0.03,2615,2615,3090,12.69140625,0.02,3075.703918,11.93895565,2967.514775,2927.5,3120,,,108.1891434
5,1791.08218,3101.081315,2415,0.025,2581.666667,2585,3105,9.7344,0.025,3094.083212,9.452545778,3025.643469,2915,3155,,,68.43974325
6,1724.816547,3111.321942,2415,0.02,2548.333333,2550,3115,7.980625,0.03,3106.540369,7.789877353,3078.772163,2932.5,3110,,,27.76820586
7,1667.705882,3146.314879,2415,0.015,2515,2515,3150,7.406173469,0.035,3138.879474,7.149041598,3131.900856,2963.5,3175,,,6.978617585
8,1623.015748,3152.253937,2415,0.01,2481.666667,2485,3155,6.31265625,0.04,3150.331073,6.287513743,3190.02955,3057,3125,,,-39.69847714
9,1541.542714,3157.512563,2415,0.005,2448.333333,2450,3160,5.601111111,0.045,3151.128147,5.488006118,3243.158244,2972,3145,,,-92.03009663
10,1574.016509,3277.063679,2415,0,2415,2415,3280,6.734025,0.05,3270.68755,6.589810648,3296.286938,3133.5,3195,,,-25.59938781
