Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,local_Second_derv_maxima,diff_swath_theo
0,1639.339572,2762.887701,2415,0.05,2748.333333,2750,2765,Inf,0,2759.644879,Inf,2750,2678.5,2760,9.644879
1,1685.40568,2799.401623,2415,0.045,2715,2715,2800,6.5025,0.005,2784.933497,4.401624617,2803.128694,2724,2880,-18.195197
2,2206.907563,3076.554622,2415,0.04,2681.666667,2685,3080,35.105625,0.01,3073.026421,34.46155292,2861.257388,2910.5,2775,211.769033
3,2041.381021,3090.517613,2415,0.035,2648.333333,2650,3095,19.8025,0.015,3081.997676,18.80647619,2914.386081,2901.5,2870,167.611595
4,1875.46991,3081.882202,2415,0.03,2615,2615,3085,12.425625,0.02,3075.320334,11.91908307,2967.514775,2938,2935,107.805559
5,1783.5,3085,2415,0.025,2581.666667,2585,3090,9.1809,0.025,3081.527467,8.994989516,3025.643469,2908,3090,55.883998
6,1722.020067,3124.448161,2415,0.02,2548.333333,2550,3125,8.265625,0.03,3111.058457,7.916489106,3078.772163,2936,3165,32.286294
7,1667.705882,3146.314879,2415,0.015,2515,2515,3150,7.406173469,0.035,3138.879474,7.149041598,3131.900856,2960.5,3175,6.978618
8,1586.55121,3143.137803,2415,0.01,2481.666667,2485,3145,6.125625,0.04,3141.018612,6.1136014,3190.02955,2943,3125,-49.010938
9,1559.035714,3160.892857,2415,0.005,2448.333333,2450,3165,5.680277778,0.045,3155.411916,5.555112473,3243.158244,2982.5,3160,-87.746328
10,1570.153499,3290.598194,2415,0,2415,2415,3295,6.9696,0.05,3275.760845,6.668183097,3296.286938,3123.5,3165,-20.526093
