Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,local_Second_derv_maxima,
0,1674.992126,2780.206693,2415,0.05,2748.333333,2750,2785,Inf,0,2776.834615,Inf,2750,2706.5,3025,26.83461509
1,2421.403945,3100.51458,2415,0.045,2715,2715,3105,136.89,0.005,3091.414183,127.5188736,2768.229065,2897,3105,323.1851185
2,2434.633094,3136.007194,2415,0.04,2681.666667,2685,3140,46.580625,0.01,3128.672966,44.95829218,2791.458129,2922,3155,337.2148368
3,2042.003866,3040.244845,2415,0.035,2648.333333,2650,3045,15.6025,0.015,3026.985533,14.33774884,2809.687194,2884.5,3170,217.2983389
4,2071.043448,3082.151724,2415,0.03,2615,2615,3085,12.425625,0.02,3068.57003,11.5720747,2827.916259,2906.5,3130,240.6537713
5,1929.550813,3064.684959,2415,0.025,2581.666667,2585,3065,8.2944,0.025,3057.080405,8.136656018,2851.145324,2899,3170,205.9350814
6,1866.797637,3087.245199,2415,0.02,2548.333333,2550,3090,7.29,0.03,3080.119566,7.069914919,2869.374388,2920,3120,210.7451771
7,1789.837423,3103.006135,2415,0.015,2515,2515,3105,6.393673469,0.035,3098.718375,6.258253618,2887.603453,2920.5,3120,211.1149219
8,1777.8,3119.666667,2415,0.01,2481.666667,2485,3120,5.670351563,0.04,3107.823177,5.513512158,2910.832518,2926,3180,196.9906592
9,1735.761194,3130.522388,2415,0.005,2448.333333,2450,3135,5.213611111,0.045,3123.218864,5.060783113,2929.061583,2951.5,3165,194.1572818
10,1734.686548,3128.013959,2415,0,2415,2415,3130,4.601025,0.05,3120.146795,4.475088021,2947.290647,2940,3185,172.8561474
