Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,local_Second_derv_maxima
0,1681.276687,2789.269939,2415,0.05,2748.333333,2750,2790,Inf,0,2782.392299,Inf,2750,2715.5,2935
1,1683.813008,2792.845528,2415,0.045,2715,2715,2795,5.76,0.005,2782.81098,4.138496113,2768.229065,2720,3595
2,3713.5,3452.837838,2415,0.04,2681.666667,2685,3455,133.4025,0.01,4098.893312,451.919557,2791.458129,2923,3150
3,2157.111111,3060.555556,2415,0.035,2648.333333,2650,3065,17.2225,0.015,3048.971067,16.05105938,2809.687194,2900.5,3115
4,2002.985337,3038.680352,2415,0.03,2615,2615,3040,10.16015625,0.02,3029.734278,9.675254332,2827.916259,2876,3105
5,2056.132785,3083.170415,2415,0.025,2581.666667,2585,3085,9,0.025,3076.26912,8.806737119,2851.145324,2929,3140
6,1924.405806,3088.042001,2415,0.02,2548.333333,2550,3090,7.29,0.03,3073.486906,6.894656862,2869.374388,2938,3240
7,1848.728473,3088.745695,2415,0.015,2515,2515,3090,6.072704082,0.035,3080.928329,5.88259971,2887.603453,2926.5,3110
8,1790.09432,3095.573022,2415,0.01,2481.666667,2485,3100,5.318789063,0.04,3090.728068,5.216565804,2910.832518,2915,3100
9,1800.480263,3112.746711,2415,0.005,2448.333333,2450,3115,4.913611111,0.045,3106.925268,4.819370406,2929.061583,3039.5,3150
10,1730.648936,3106.914894,2415,0,2415,2415,3110,4.347225,0.05,3104.962182,4.284430307,2947.290647,2915,3130
