Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,local_Second_derv_maxima,,
0,1680.399067,2785.845974,2415,0.05,2748.333333,2750,2790,Inf,0,2780.142751,Inf,2750,2697.5,3085,2780.142751,
1,1677.087794,2791.156317,2415,0.045,2715,2715,2795,5.76,0.005,2780.948873,3.914328408,2768.229065,2695,2970,2780.948873,
2,2794.909091,3191.363636,2415,0.04,2681.666667,2685,3195,58.5225,0.01,3223.402961,66.03259793,2791.458129,2897.5,3125,3125,
3,2472.086882,3139.23339,2415,0.035,2648.333333,2650,3140,24.01,0.015,3135.051402,23.68944787,2809.687194,2923.5,3025,3025,
4,2074.963959,3051.882151,2415,0.03,2615,2615,3055,10.89,0.02,3045.28468,10.41440096,2827.916259,2873,2970,2970,
5,1994.3125,3074.0625,2415,0.025,2581.666667,2585,3075,8.6436,0.025,3063.554636,8.359776542,2851.145324,2886,3130,3063.554636,
6,1937.554427,3070.580552,2415,0.02,2548.333333,2550,3075,6.890625,0.03,3061.649724,6.587342911,2869.374388,2933.5,3460,3061.649724,
7,1862.500569,3083.627563,2415,0.015,2515,2515,3085,5.96755102,0.035,3078.702988,5.836427617,2887.603453,2904,3130,3078.702988,
8,1811.324956,3089.234366,2415,0.01,2481.666667,2485,3090,5.147226562,0.04,3081.216812,5.054911546,2910.832518,2942.5,3180,3081.216812,
9,1748.971457,3102.957677,2415,0.005,2448.333333,2450,3105,4.766944444,0.045,3097.687476,4.685120034,2929.061583,2955,3265,3097.687476,
10,1731.033473,3110.181311,2415,0,2415,2415,3115,4.41,0.05,3105.780632,4.294600929,2947.290647,2918.5,3145,3105.780632,158.4899842
