X_Time_0,Y_Amplitude_0,Y_Amplitude_1,Y_Amplitude_2,Y_Amplitude_3,Y_Amplitude_4,Y_Amplitude_5,Y_Amplitude_6,Y_Amplitude_7,Y_Amplitude_8,Y_Amplitude_9,Y_Amplitude_10,derivative_0,derivative_1,derivative_2,derivative_3,derivative_4,derivative_5,derivative_6,derivative_7,derivative_8,derivative_9,derivative_10,seccond_derivative_0,seccond_derivative_1,seccond_derivative_2,seccond_derivative_3,seccond_derivative_4,seccond_derivative_5,seccond_derivative_6,seccond_derivative_7,seccond_derivative_8,seccond_derivative_9,seccond_derivative_10
0,246,257,254,255,241,252,246,249,240,246,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,246,257,254,255,241,252,246,249,240,246,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,246,257,254,255,241,252,246,249,240,246,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,246,257,254,255,241,252,246,249,240,246,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,246,257,254,255,241,252,246,249,240,246,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,246,257,254,255,241,252,246,249,240,246,252,0,0,-20,0,0,0,-20,0,0,0,20,0,0,-8,0,0,0,-8,0,0,0,8
30,246,257,253,255,241,252,245,249,240,246,253,0,0,-40,0,0,20,-40,-20,20,0,40,0,0,0,0,0,8,0,-8,8,0,0
35,246,257,252,255,241,253,244,248,241,246,254,0,0,-40,20,0,40,-40,-40,20,0,40,0,0,0,8,0,0,0,0,-8,0,0
40,246,257,251,256,241,254,243,247,241,246,255,0,20,-20,40,0,40,-40,-20,0,0,20,0,8,8,0,0,0,0,8,0,0,-8
45,246,258,251,257,241,255,242,247,241,246,255,20,20,0,20,0,40,-20,0,0,0,0,8,-8,0,-8,0,0,8,0,0,0,0
50,247,258,251,257,241,256,242,247,241,246,255,40,0,0,0,20,20,0,0,-20,0,-40,0,0,0,0,8,-8,0,0,-8,0,-16
55,248,258,251,257,242,256,242,247,240,246,253,20,0,20,0,40,0,20,0,-20,0,-80,-8,0,8,0,0,0,8,0,8,0,0
60,248,258,252,257,243,256,243,247,240,246,251,0,0,20,0,40,0,40,20,-20,0,-80,0,0,-8,0,0,0,0,8,-8,0,0
65,248,258,252,257,244,256,244,248,239,246,249,0,-20,0,0,40,-20,40,20,-20,0,-80,0,-8,0,0,0,-8,0,-8,8,0,0
70,248,257,252,257,245,255,245,248,239,246,247,-20,-20,0,0,40,-40,40,0,-20,0,-60,-8,8,0,0,0,0,0,0,-8,0,8
75,247,257,252,257,246,254,246,248,238,246,246,-60,-20,0,0,40,-40,20,20,-20,20,-20,-8,-8,0,0,0,0,-8,8,8,8,8
80,245,256,252,257,247,253,246,249,238,247,246,-60,-20,0,0,20,-40,0,20,0,40,0,8,8,0,0,-8,0,0,-8,0,0,0
85,244,256,252,257,247,252,246,249,238,248,246,-40,0,0,0,0,-40,0,20,0,40,0,0,0,0,0,0,0,0,8,0,0,0
90,243,256,252,257,247,251,246,250,238,249,246,-40,0,0,0,0,-20,0,20,20,20,0,0,0,0,0,0,8,0,-8,8,-8,0
95,242,256,252,257,247,251,246,250,239,249,246,-20,0,20,20,0,0,0,20,20,20,20,8,0,8,8,0,0,0,8,-8,8,8
100,242,256,253,258,247,251,246,251,239,250,247,0,0,60,40,0,0,-20,40,20,20,40,0,0,8,0,0,0,-8,0,8,-8,0
105,242,256,255,259,247,251,245,252,240,250,248,0,0,60,20,0,0,-20,20,40,0,40,0,0,-8,-8,0,0,8,-8,0,0,0
110,242,256,256,259,247,251,245,252,241,250,249,0,0,20,20,-20,0,-20,0,20,0,20,0,0,-8,8,-8,0,-8,0,-8,0,-8
115,242,256,256,260,246,251,244,252,241,250,249,0,20,0,20,-20,20,-20,0,0,0,20,0,8,0,-8,8,8,8,0,0,0,8
120,242,257,256,260,246,252,244,252,241,250,250,20,40,0,0,0,40,0,0,0,-20,20,8,0,0,0,0,0,0,0,0,-8,-8
125,243,258,256,260,246,253,244,252,241,249,250,60,40,0,0,-20,60,0,0,0,-40,0,8,0,0,0,-8,8,0,0,0,0,0
130,245,259,256,260,245,255,244,252,241,248,250,80,40,-20,0,-40,40,20,0,0,-20,0,0,0,-8,0,0,-16,8,0,0,8,0
135,247,260,255,260,244,255,245,252,241,248,250,60,20,-20,20,-40,20,40,0,0,-20,0,-8,-8,8,8,0,8,0,0,0,-8,0
140,248,260,255,261,243,256,246,252,241,247,250,60,0,0,20,-40,20,20,0,-20,-20,20,8,0,0,-8,0,-8,-8,0,-8,8,8
145,250,260,255,261,242,256,246,252,240,247,251,60,0,0,20,-40,0,0,0,-40,0,20,-8,0,0,8,0,0,0,0,0,0,-8
150,251,260,255,262,241,256,246,252,239,247,251,40,0,0,20,-40,-20,0,20,-20,0,20,0,0,0,-8,0,-8,0,8,8,0,8
155,252,260,255,262,240,255,246,253,239,247,252,20,0,0,0,-40,-60,0,40,-20,20,20,-8,0,0,0,0,-8,0,0,-8,8,-8
160,252,260,255,262,239,253,246,254,238,248,252,0,0,0,0,-20,-80,0,40,-40,20,0,0,0,0,0,8,0,0,0,0,-8,0
165,252,260,255,262,239,251,246,255,237,248,252,0,0,0,-20,0,-60,0,40,-20,0,0,0,0,0,-8,0,8,0,0,8,0,0
170,252,260,255,261,239,250,246,256,237,248,252,0,0,20,-20,20,-20,20,40,0,0,0,0,0,8,8,8,8,8,0,0,0,0
175,252,260,256,261,240,250,247,257,237,248,252,0,0,20,-20,60,0,20,20,0,0,0,0,0,-8,-8,8,0,-8,-8,0,0,0
180,252,260,256,260,242,250,247,257,237,248,252,-20,20,0,-40,60,20,20,20,0,0,-20,-8,8,0,0,-8,8,8,8,0,0,-8
185,251,261,256,259,243,251,248,258,237,248,251,-60,20,20,-20,60,40,20,20,-20,0,-20,-8,-8,8,8,8,0,-8,-8,-8,0,8
190,249,261,257,259,245,252,248,258,236,248,251,-60,0,20,0,40,60,0,0,-20,0,-20,8,0,-8,0,-16,8,0,0,8,0,-8
195,248,261,257,259,245,254,248,258,236,248,250,-60,0,0,0,0,60,0,0,0,0,-20,-8,0,0,0,0,-8,0,0,0,0,8
200,246,261,257,259,245,255,248,258,236,248,250,-40,0,0,0,-20,40,0,0,0,0,0,16,0,0,0,-8,0,0,0,0,0,0
205,246,261,257,259,244,256,248,258,236,248,250,-20,-20,0,0,-40,20,0,0,20,0,0,-8,-8,0,0,0,-8,0,0,8,0,0
210,245,260,257,259,243,256,248,258,237,248,250,-20,-40,-20,20,-60,0,-20,0,20,0,0,8,0,-8,8,-8,0,-8,0,-8,0,0
215,245,259,256,260,241,256,247,258,237,248,250,20,-40,-20,40,-40,0,-20,-20,20,0,20,8,0,8,0,16,0,8,-8,8,0,8
220,246,258,256,261,241,256,247,257,238,248,251,60,-40,0,40,0,0,0,-20,20,0,40,8,0,0,0,0,0,0,8,-8,0,0
225,248,257,256,262,241,256,247,257,238,248,252,60,-20,0,20,0,0,0,-20,0,0,40,-8,8,0,-8,0,0,0,-8,0,0,0
230,249,257,256,262,241,256,247,256,238,248,253,40,0,0,0,0,0,0,-40,0,20,40,0,0,0,0,0,0,0,0,0,8,0
