X_Time_0,Y_Amplitude_0,Y_Amplitude_1,Y_Amplitude_2,Y_Amplitude_3,Y_Amplitude_4,Y_Amplitude_5,Y_Amplitude_6,Y_Amplitude_7,Y_Amplitude_8,Y_Amplitude_9,Y_Amplitude_10,derivative_0,derivative_1,derivative_2,derivative_3,derivative_4,derivative_5,derivative_6,derivative_7,derivative_8,derivative_9,derivative_10,seccond_derivative_0,seccond_derivative_1,seccond_derivative_2,seccond_derivative_3,seccond_derivative_4,seccond_derivative_5,seccond_derivative_6,seccond_derivative_7,seccond_derivative_8,seccond_derivative_9,seccond_derivative_10
0,267,257,247,248,244,250,247,235,256,270,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,267,257,247,248,244,250,247,235,256,270,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,267,257,247,248,244,250,247,235,256,270,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,267,257,247,248,244,250,247,235,256,270,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,267,257,247,248,244,250,247,235,256,270,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,267,257,247,248,244,250,247,235,256,270,239,20,0,0,0,0,0,0,0,0,0,-20,8,0,0,0,0,0,0,0,0,0,-8
30,268,257,247,248,244,250,247,235,256,270,238,60,-20,0,0,0,0,0,0,40,0,-40,8,-8,0,0,0,0,0,0,16,0,0
35,270,256,247,248,244,250,247,235,258,270,237,60,-20,0,0,0,0,0,-40,60,0,-40,-8,8,0,0,0,0,0,-16,-8,0,0
40,271,256,247,248,244,250,247,233,259,270,236,40,0,0,-20,0,0,0,-60,40,20,-40,0,0,0,-8,0,0,0,8,0,8,0
45,272,256,247,247,244,250,247,232,260,271,235,20,0,0,-20,0,0,0,-20,40,20,-20,-8,0,0,8,0,0,0,8,0,-8,8
50,272,256,247,247,244,250,247,232,261,271,235,0,0,0,0,0,0,-20,0,40,20,0,0,0,0,0,0,0,-8,0,0,8,0
55,272,256,247,247,244,250,246,232,262,272,235,-20,0,0,20,20,0,-40,0,20,20,0,-8,0,0,8,8,0,0,0,-8,-8,0
60,271,256,247,248,245,250,245,232,262,272,235,-40,0,0,60,40,20,-20,20,20,20,20,0,0,0,8,0,8,8,8,8,8,8
65,270,256,247,250,246,251,245,233,263,273,236,-60,0,0,60,20,20,-20,60,40,20,20,-8,0,0,-8,-8,-8,-8,8,0,-8,-8
70,268,256,247,251,246,251,244,235,264,273,236,-60,-20,-20,40,0,20,-20,60,40,0,0,8,-8,-8,0,0,8,8,-8,0,0,0
75,267,255,246,252,246,252,244,236,265,273,236,-40,-40,-20,40,0,20,0,40,40,0,0,0,0,8,0,0,-8,0,0,0,0,0
80,266,254,246,253,246,252,244,237,266,273,236,-20,-20,0,40,0,0,0,40,40,-20,0,8,8,0,0,0,0,0,0,0,-8,0
85,266,254,246,254,246,252,244,238,267,272,236,0,0,0,20,-20,0,0,20,20,-40,0,0,0,0,-8,-8,0,0,-8,-8,0,0
90,266,254,246,254,245,252,244,238,267,271,236,0,-20,0,0,-40,0,40,0,0,-20,0,0,-8,0,0,0,0,16,0,0,8,0
95,266,253,246,254,244,252,246,238,267,271,236,0,-20,20,0,-20,0,60,0,0,-20,20,0,8,8,0,8,0,-8,0,0,-8,8
100,266,253,247,254,244,252,247,238,267,270,237,0,0,40,0,-20,0,60,0,-20,-20,40,0,0,0,0,-8,0,8,0,-8,8,0
105,266,253,248,254,243,252,249,238,266,270,238,0,0,60,-20,-20,0,60,0,-40,0,20,0,0,8,-8,8,0,-8,0,0,0,-8
110,266,253,250,253,243,252,250,238,265,270,238,0,0,40,-20,20,0,20,0,-20,0,20,0,0,-16,8,8,0,-8,0,8,0,8
115,266,253,250,253,244,252,250,238,265,270,239,0,20,0,0,40,0,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,-8
