X_Time_0,Y_Amplitude_0,Y_Amplitude_1,Y_Amplitude_2,Y_Amplitude_3,Y_Amplitude_4,Y_Amplitude_5,Y_Amplitude_6,Y_Amplitude_7,Y_Amplitude_8,Y_Amplitude_9,Y_Amplitude_10,derivative_0,derivative_1,derivative_2,derivative_3,derivative_4,derivative_5,derivative_6,derivative_7,derivative_8,derivative_9,derivative_10,seccond_derivative_0,seccond_derivative_1,seccond_derivative_2,seccond_derivative_3,seccond_derivative_4,seccond_derivative_5,seccond_derivative_6,seccond_derivative_7,seccond_derivative_8,seccond_derivative_9,seccond_derivative_10
0,239,247,243,246,249,251,247,252,243,244,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,239,247,243,246,249,251,247,252,243,244,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,239,247,243,246,249,251,247,252,243,244,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,239,247,243,246,249,251,247,252,243,244,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,239,247,243,246,249,251,247,252,243,244,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,239,247,243,246,249,251,247,252,243,244,245,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,8,8,0,8,0,0,0
30,239,247,243,246,250,252,247,253,243,244,245,-40,0,0,0,60,40,0,40,20,20,0,-16,0,0,0,8,0,0,0,8,8,0
35,237,247,243,246,252,253,247,254,244,245,245,-60,0,20,0,60,20,0,20,20,40,-20,8,0,8,0,-8,-8,0,-8,-8,0,-8
40,236,247,244,246,253,253,247,254,244,246,244,-40,-20,20,-20,40,-20,20,0,0,20,-40,0,-8,-8,-8,0,-8,8,0,0,-8,0
45,235,246,244,245,254,252,248,254,244,246,243,-20,-20,20,-40,40,-60,20,-20,0,0,-40,8,8,8,0,0,-8,-8,-8,0,0,0
50,235,246,245,244,255,250,248,253,244,246,242,0,0,40,-40,20,-80,20,-40,0,20,-20,0,0,0,0,-8,0,8,0,0,8,8
55,235,246,246,243,255,248,249,252,244,247,242,0,0,40,-20,0,-60,20,-40,0,20,0,0,0,0,8,0,8,-8,0,0,-8,0
60,235,246,247,243,255,247,249,251,244,247,242,20,20,20,0,-20,-20,0,-40,0,0,0,8,8,-8,0,-8,8,0,0,0,0,0
65,236,247,247,243,254,247,249,250,244,247,242,40,20,0,0,-60,20,20,-20,0,0,0,0,-8,0,0,-8,8,8,8,0,0,0
70,237,247,247,243,252,248,250,250,244,247,242,40,20,0,0,-80,40,20,0,0,0,0,0,8,0,0,0,0,-8,0,0,0,0
75,238,248,247,243,250,249,250,250,244,247,242,40,20,0,20,-80,60,20,0,0,0,0,0,-8,0,8,0,8,8,0,0,0,0
80,239,248,247,244,248,251,251,250,244,247,242,20,0,-20,40,-80,60,40,0,0,0,-20,-8,0,-8,0,0,-8,0,0,0,0,-8
85,239,248,246,245,246,252,252,250,244,247,241,20,0,-40,60,-60,40,40,0,-20,0,-20,8,0,0,8,8,0,0,0,-8,0,8
90,240,248,245,247,245,253,253,250,243,247,241,20,0,-20,60,-60,40,40,0,-40,-20,-20,-8,0,8,-8,-8,0,0,0,0,-8,-8
95,240,248,245,248,243,254,254,250,242,246,240,0,-20,0,20,-60,20,40,0,-40,-20,-20,0,-8,0,-8,8,-8,0,0,0,8,8
100,240,247,245,248,242,254,255,250,241,246,240,-20,-20,0,0,-20,0,40,0,-60,0,0,-8,8,0,0,8,0,0,0,-8,0,0
105,239,247,245,248,242,254,256,250,239,246,240,-20,0,0,0,0,20,20,0,-40,0,0,8,0,0,0,0,8,-8,0,16,0,0
110,239,247,245,248,242,255,256,250,239,246,240,0,0,20,-40,0,20,0,20,0,0,0,0,0,8,-16,0,-8,0,8,0,0,0
115,239,247,246,246,242,255,256,251,239,246,240,0,0,20,-80,40,20,-20,20,0,0,20,0,0,-8,0,16,8,-8,-8,0,0,8
120,239,247,246,244,244,256,255,251,239,246,241,0,0,0,-80,80,40,-40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
125,239,247,246,242,246,257,254,251,239,246,242,20,0,0,-40,80,40,-60,20,40,0,40,8,0,0,16,0,0,-8,8,16,0,0
130,240,247,246,242,248,258,252,252,241,246,243,40,-20,0,0,80,20,-40,40,60,0,40,0,-8,0,0,0,-8,16,0,-8,0,0
135,241,246,246,242,250,258,252,253,242,246,244,60,-20,0,0,80,-20,0,20,40,0,20,8,8,0,0,0,-8,0,-8,0,0,-8
140,243,246,246,242,252,257,252,253,243,246,244,40,0,0,40,80,-40,0,0,20,0,0,-16,0,0,16,0,0,0,0,-8,0,0
145,243,246,246,244,254,256,252,253,243,246,244,20,20,-20,80,80,-40,0,0,0,20,0,8,8,-8,0,0,0,0,0,0,8,0
150,244,247,245,246,256,255,252,253,243,247,244,20,40,-20,80,60,-60,20,-20,0,20,0,-8,0,8,0,-8,-8,8,-8,0,-8,0
155,244,248,245,248,257,253,253,252,243,247,244,0,40,0,60,20,-60,40,-40,0,20,-20,0,0,0,-8,-8,8,0,0,0,8,-8
160,244,249,245,249,257,252,254,251,243,248,243,-20,40,0,40,0,-20,20,-20,-20,20,-20,-8,0,0,0,0,8,-8,8,-8,-8,8
165,243,250,245,250,257,252,254,251,242,248,243,-40,20,0,20,0,0,0,-20,-20,0,0,0,-8,0,-8,0,0,0,-8,8,0,0
170,242,250,245,250,257,252,254,250,242,248,243,-40,0,0,0,-20,0,0,-20,0,0,0,0,0,0,0,-8,0,0,8,0,0,0
175,241,250,245,250,256,252,254,250,242,248,243,-40,-20,0,0,-40,0,-20,0,20,0,0,0,-8,0,0,0,0,-8,0,8,0,0
180,240,249,245,250,255,252,253,250,243,248,243,-40,-60,20,0,-40,20,-20,0,40,-20,-20,0,-8,8,0,0,8,8,0,0,-8,-8
185,239,247,246,250,254,253,253,250,244,247,242,-20,-80,20,-20,-20,40,0,0,60,-20,-20,8,0,-8,-8,8,0,0,0,8,8,8
190,239,245,246,249,254,254,253,250,246,247,242,0,-60,0,-20,0,40,0,20,60,0,-20,0,8,0,8,0,0,0,8,-8,0,-8
195,239,244,246,249,254,255,253,251,247,247,241,0,-40,20,0,0,20,40,40,40,0,-40,0,0,8,0,0,-8,16,0,0,0,0
200,239,243,247,249,254,255,255,252,248,247,240,0,-20,20,0,0,20,60,40,20,0,-40,0,8,-8,0,0,8,-8,0,-8,0,0
205,239,243,247,249,254,256,256,253,248,247,239,0,20,0,0,0,20,40,40,20,20,-40,0,8,0,0,0,-8,0,0,8,8,0
210,239,244,247,249,254,256,257,254,249,248,238,0,40,0,0,0,0,20,40,20,40,-20,0,0,0,0,0,0,-8,0,-8,0,8
215,239,245,247,249,254,256,257,255,249,249,238,20,60,0,0,0,-20,0,20,0,40,20,8,8,0,0,0,-8,0,-8,0,0,8
220,240,247,247,249,254,255,257,255,249,250,239,20,60,-20,-20,0,-20,0,0,0,20,60,-8,-8,-8,-8,0,8,0,0,0,-8,8
225,240,248,246,248,254,255,257,255,249,250,241,20,20,-20,-20,0,-20,0,0,0,20,60,8,-8,8,8,0,-8,0,0,0,8,-8
230,241,248,246,248,254,254,257,255,249,251,242,40,0,0,0,0,-20,0,0,0,20,60,0,0,0,0,0,8,0,0,0,-8,8
235,242,248,246,248,254,254,257,255,249,251,244,20,0,0,-20,0,0,0,0,0,0,60,-8,0,0,-8,0,0,0,0,0,0,-8
240,242,248,246,247,254,254,257,255,249,251,245,20,0,20,-20,0,0,0,0,0,0,20,8,0,8,8,0,0,0,0,0,0,-8
245,243,248,247,247,254,254,257,255,249,251,245,20,-20,40,0,0,40,0,0,0,0,0,-8,-8,0,0,0,16,0,0,0,0,0
250,243,247,248,247,254,256,257,255,249,251,245,0,-20,40,0,0,60,0,0,-20,0,-20,0,8,0,0,0,-8,0,0,-8,0,-8
255,243,247,249,247,254,257,257,255,248,251,244,0,-20,40,0,0,20,0,0,-40,0,-40,0,-8,0,0,0,-8,0,0,0,0,0
260,243,246,250,247,254,257,257,255,247,251,243,0,-20,20,20,0,20,0,0,-60,-20,-20,0,8,-8,8,0,8,0,0,-8,-8,8
265,243,246,250,248,254,258,257,255,245,250,243,0,0,0,20,0,20,-20,0,-60,-20,-20,0,0,0,-8,0,-8,-8,0,8,8,-8
270,243,246,250,248,254,258,256,255,244,250,242,0,0,0,0,0,0,-40,-20,-40,0,-20,0,0,0,0,0,0,0,-8,0,0,8
