X_Time_0,Y_Amplitude_0,Y_Amplitude_1,Y_Amplitude_2,Y_Amplitude_3,Y_Amplitude_4,Y_Amplitude_5,Y_Amplitude_6,Y_Amplitude_7,Y_Amplitude_8,Y_Amplitude_9,Y_Amplitude_10,derivative_0,derivative_1,derivative_2,derivative_3,derivative_4,derivative_5,derivative_6,derivative_7,derivative_8,derivative_9,derivative_10,seccond_derivative_0,seccond_derivative_1,seccond_derivative_2,seccond_derivative_3,seccond_derivative_4,seccond_derivative_5,seccond_derivative_6,seccond_derivative_7,seccond_derivative_8,seccond_derivative_9,seccond_derivative_10
0,255,253,243,251,250,246,251,262,263,265,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,255,253,243,251,250,246,251,262,263,265,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,255,253,243,251,250,246,251,262,263,265,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,255,253,243,251,250,246,251,262,263,265,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,255,253,243,251,250,246,251,262,263,265,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,255,253,243,251,250,246,251,262,263,265,275,0,0,0,40,20,0,40,0,20,40,20,0,0,0,16,8,0,16,0,8,16,8
30,255,253,243,253,251,246,253,262,264,267,276,20,0,0,80,20,0,80,20,40,60,40,8,0,0,0,-8,0,0,8,0,-8,0
35,256,253,243,255,251,246,255,263,265,268,277,20,20,0,60,20,0,60,60,40,40,40,-8,8,0,-8,8,0,-8,8,0,0,0
40,256,254,243,256,252,246,256,265,266,269,278,0,60,0,60,20,0,60,60,40,40,60,0,8,0,8,-8,0,8,-8,0,0,8
45,256,256,243,258,252,246,258,266,267,270,280,0,80,-20,60,20,20,60,60,40,40,60,0,0,-8,-8,8,8,-8,8,0,0,-8
